标题,内容
"早上起床脚踝部会隐隐刺痛,脚部不肿,外观正常",您好，建议您拍一下片子，具体明确是否骨质增生，或膝关节骨性关节病。您可以局部外用药物、理疗进行治疗，一般症状会得到明显缓解。祝早日康复！ 
脚后跟的骨头痛是什么回事？用什么方法治疗？,建议你拍片看看，是否是增生。谢谢你对问必答网的信任，有问必答网为全民公益网站，医师团全体成员竭诚为您服务，我们将尽快回复您的提问，欢迎您经常光顾有问必答 
还能训练吗,你好，暂时休息，痊愈后再考虑． 
"3岁时左髁骨骨折后骨骺闭合不均匀,我想",此情况是没有什么大的影响的不用担心的。 
"姓别,女去年年底生产今年五月至今脚后跟疼,像是里边骨头疼",脚后跟是少阴经的走向是因为阴虚引起的，可以用地黄丸进行治疗。 
右大腿关节酸痛是何因？,你的情况你最好是先检查一下腰椎情况看是不是有腰椎神经系统病变。 
骨骨头坏死和股骨头不是一回事吧?,您好！您爸爸应该到医院确诊明确是哪一期的股骨头缺血性坏死，不同的类型的治疗方案。股骨头缺血性坏死的治疗有手术和非手术两大类，经治疗有的病人症状可逐渐缓解，关节活动大部恢复；对于已经出现股骨头塌陷的患者，绝大多数有进一步发展的趋势，特别是酒精中毒性股骨头坏死和体形肥胖者，预后多较差。患者必须重视各种可能引起股骨头坏死的高危因素，积极预防，一旦发病应早期诊断，并采取相应措施延缓或阻碍病变的进一步发展。1：股骨头缺血性坏死早期即I期，能发现的占少数，祛除原因，避免负重，减少髋关节的剪力运动，适当服用促进血运的血管扩张、供血趋增的药物，增服钙剂，对缺血坏死倾向可望遏止，时经6~12个月，逐渐恢复正常。但毕竟是少数。若行髓芯减压，可降低股骨颈、头部的骨内压，降低了继续趋向缺血恶化的血供状态的可能性。临床上能在此气不失时机的手术者不多。2：对II、III和IV期股骨头坏死，采用股骨颈坚强内固定同时，采取带血管蒂骨瓣头颈部移植，以促进股骨颈头愈合，增进股骨头部血供，以修复股骨头的坏死区。理论上是可行的，但实际成功率低，对其中失败的病人仍然无奈。由于在临床上就诊的病人多为II、III和IV期，对于股骨头缺血性坏死的成人，人工髋关节置换术应该说是一种良好的功能重建方法已经普遍认可，3：由于股骨头缺血性坏死的治疗是一个漫长的过程，一般需要二至三年，甚至更长的时间。病程长，功能恢复慢，经济负担重，容易导致患者出现心理负担。因此应当有长期治疗与康复的思想准备，树立治疗疾病的信心，增强与疾病斗争的勇气，保持乐观的心态，加强锻炼，注意生活调整和饮食调整，从而达到提高生存质量，减轻痛苦，尽可能恢复髋功能的目的。祝您爸爸早日康复！！ 
"我有个朋友半年前双脚母指甲下出现化浓,在本地医院诊断为甲沟炎",您好！甲沟炎是指甲周围的化脓性感染。多因微小刺稍、倒刺剪指甲过深等损伤而引起，发生在跚趾的甲沟炎，常为嵌甲引起。临床表现起病时指甲一侧的皮下组织发红、肿痛。轻者可消退，如感染重则迅速化脓，并可蔓延到甲根部及对侧甲沟。若蔓延到甲下，使指甲与甲床分离，可见到甲下的脓液。治疗甲沟炎早期，可用2%的碘酒涂擦或热水浸泡患指，每日4～6次，每次15～20分钟，然后可外敷鱼石脂软膏，或三黄散等。如已有脓液形成，应切开引流。累及甲根或甲床时应部分或全部拔甲。如拔甲后甲床未破坏，2～3个月指甲仍会再生。甲沟炎是甲周组织的炎症反应。按发病时间和临床表现分为急性、亚急性或慢性炎症反应。急性甲沟炎通常是由金黄色葡萄球菌感染引起。局部刺伤、修甲过短、嵌甲等是重要的诱因。急性甲沟炎开始为后甲皱区的小片状炎症。炎症迅速扩展可蔓延到全甲沟，甚至形成甲下脓肿。多数为一甲受累。局部疼痛剧烈，呈搏动性，手臂下垂时加剧，所以患者常将手抱于胸前。发炎的手指随着心跳而跳痛，也就是十指连心，有明显触痛。指(趾)甲周围皮肤皱襞的一种炎症反应称为甲沟炎。甲接触外界甚多，在日常生活与劳动中受伤机会也较多。指甲损伤多因刺伤、针戳、逆剥、撕裂等所致；趾甲损伤则因挤压、磨擦、修剪不当等原因引起，就是肉眼不易察觉的轻微擦伤也会造成致病菌的入侵，沿着指(趾)甲环行蔓延而形成甲沟炎。若治疗不及时，亦可发展到甲床而致甲下脓肿。临床上，病程在3周以内者为急性甲沟炎，超过2个月者为慢性甲沟炎。急性甲沟炎多由葡萄球菌感染所致。这种细菌存在于人的皮肤上，一般情况下仅为污染，并不发生感染，这是因为人体具有局部和全身的防御功能。只有当机体防御功能降低，甲周皮肤完整性被破坏，或致病菌数量、毒力过大时，才会引起感染。慢性甲沟炎多由于经常受到潮湿、浸渍而造成绿脓杆菌、真菌(念珠菌、曲霉菌等)及普通变形杆菌等的感染。诊断要点1．初起，指甲一侧的组织红、肿、疼痛。2．进—步发展则化脓，脓液自一侧甲沟经甲根部皮下蔓延到对侧甲沟形成半环形脓肿。3．处理不及时则形成甲下脓肿，亦可发展成慢性甲沟炎及慢性指骨骨髓炎，出现慢性窦道，肉芽组织自窦口向外突出。西医治疗原则1．早期可热敷、理疗、外敷中药并应用抗菌素。2．脓液形成后，则需于甲沟处纵形切开引流。环形脓肿时于双侧甲沟分别切口并翻起甲根皮肤引流。3．甲下脓肿或慢性甲沟炎时可行拔甲术。 
"22天前我的脚崴了,当时没有做特殊的护理,只吃了几枚中华跌打丸","你好,你的脚被扭伤造成骨折,在骨头没有愈合前,建议尽量少活动,在扭伤的同时,也可能损伤到软组织,当你的骨折愈合后,如果被扭伤的部位,还出现疼痛,这就是软骨损伤,如果骨折治愈后,局部还有肿,并出现弯曲受限,这就是韧带被拉伤的症状,要使骨折快速愈合,建议选用中医治疗,中医疗法有很多,可因地,因医师的不同,所用的药和药方也就不同,在这里建议你选用对身体没有副作用的野生中草药外敷快速接骨,一般3到5天就可接上,再用药保养20天左右就可痊愈,如果是软骨和韧带有损伤,同样可用野生草药外敷治疗,软骨需要30天左右,韧带需要20到30天左右就可痊愈.在没有治疗前,多休息,少活动,忌吃公鸡肉,鲤鱼,酸笋和燥热食物.如是软骨和韧带也有损伤,一定要忌吃牛肉,鸡肉,姜. "
我母亲膝关节经查患唇状骨质增生，请问如何治疗？用何,
请问骨头钙化怎么办,此情况问题不大，那是生理现象而已。 
得了痛风怎么办?,
如何治疗创伤性关节炎,
脚踝韧带扭伤软组织功能修复,"你好,软组织韧带损伤只要你能对症用药,是可以恢复如初的,由于你这早期软组织损伤,建议中医治疗,选用野生草药外敷修复韧带,一般10天左右就可修复,症状明显减轻,再用药保养20到30天左右就可痊愈.在韧带没有恢复到正常状态前,切忌刻意锻炼,这样只会加重韧带的拉伤,严重的会再次断裂,韧带在没有彻底恢复前一定要忌吃牛肉,鸡肉,姜. "
"左脚脚踝骨裂一个月后,恢复期是不是可以多走动","你好,脚踝骨裂一个月,不知你是否借助药力治疗,如果不用药治疗,留其自行愈合,时间是远远不够的,在骨头骨痂没有彻底愈合前,最好不要过多活动,以免影响骨头的愈合,严重的会再次骨折,骨裂一个月后现在有何症状,是否还有肿,痛,如果这些情况都存在,建议中医治疗,中医治疗可因地,因医师的不同,所用的药和药方也就不同,在这里建议你选用野生中草药外敷快速接骨,一般3到5天就可接上,骨头接上疼痛明显减轻80%左右,骨头接不上,疼痛减轻是很少的,再用药保养20天左右就可痊愈.在骨头没有愈合牢固前,一定不要过多活动,忌吃公鸡肉,鲤鱼,酸笋和燥热食物.中国中医博大精深,不管是内服还是外用,只要患者能找到良医,对症治疗,就可快速治愈. "
左腿关节处肿,你好，首先休息，按时用药．需要排除关节积液．可找骨科医生检查确诊． 
有好几年了，坐的时间久了，或走路走的太多了,患者您好！根据您的病情症状是不能明确确诊的，请您当地医院进行拍片检查。祝您早日康复！ 
滑膜炎是怎么回事,此情况如果是不积极的治疗是很有可能发展的，因此是一定要引起重视。 
走路偶尔脚心疼！,这样的情况建议先检查腰椎情况。 
小腿骨处有硬块,外伤后局部血肿机化造成的，可不必治疗。 
"如果脚跟长了骨刺需要怎么治疗,是不是要做手术",那只有手术。 
我的婆婆摔伤了膝盖吃什么食物和喝什么汤？,"你好，髌骨骨折的治疗时间是8/10周，年龄大,愈合的时间慢.平时抬高患肢,卧床休息,患肢尽量不要负重活动。平时加强营养多吃排骨,鸡肉,牛肉,鸡蛋,牛奶。建议你服用专业的接骨续筋,消肿止痛，活血化瘀药物八仙接骨宝治疗,5天症状明显减轻,20/30天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的.国家药典及临床医生就没有听说几天可以愈合骨痂的,一个外伤都需要7/15天才可以愈合的,更别说骨折了.外用药只可以解决表皮问题,跟本解决不了骨质问题.因为骨头是由骨质,骨膜,骨髓三部分组成.药物是需要配伍成方,相辅相成才可以起到治疗的作用.不是随便挖些草药就可以治疗的.患者可以点击“左边进入其诊室”详细查看我的医生诊室“诊室简介”。“伤筋动骨一百天”不是某地方某些人的看法，而是全国人民的看法。 "
"家父60多岁,一次和我一起屋顶补漏时不小心摔伤了脚","你好,,由于你父亲踝骨骨裂的时间不算晚,用药外敷是可以很快治愈的,建议中医治疗,中医疗法有很多,可因地,因医师的不同,所用的药方也就是不同,在这里建议你选用纯野生,对身体没有副作用的野生山林草药外敷快速接骨,一般3到5天就可接上,骨头接上时疼痛明显减轻80%左右,再用药保养20到30天就可痊愈.关节脱位,韧带(筋)多少有损伤,如果骨折痊愈后,出现弯曲受限,有僵硬拉紧感,那就是韧带损伤,用野生草药外敷治疗大概需要30左右就可痊愈.在没有治疗前,多休息,少活动,以免加重骨折处的损伤,忌服含激素的药物,以免引起骨坏死,饮食忌吃公鸡肉,鲤鱼,酸笋和燥热食物.中国中医博大精深,不管是内服还是外用,关健在于医生的医术,能把病治好的才叫好,好药是不分内服和外用的,也不存在外用药只可解决表皮问题这种说法,所谓的伤筋动骨一百天,那只是某地方以及某些人的看法,只要患者能找到良医,对症用药,就可以快速治愈. "
"40岁 因歪脚,医院拍片说怀疑是骨折(脚踝处),现已卧床休息40余天",
请教：鞋跟过高使右前脚掌受伤了．．．．．,
"我妈有关节疼痛的老毛病,不知吃这种药管用吗",广告效应! 
胫骨平台骨折会有后遗症?,"你好，首先告诉你只要骨折期间注意休息，不可以负重活动。不会有后遗症的。胫骨平台骨折成人需要8/10周可以达到临床愈合。平时可以补钙，服用普通的奶味钙片就可以，再加些维生素AD胶丸即可。建议你服用专业的接骨续筋,消肿止痛，活血化瘀药物八仙接骨宝治疗,7天症状明显减轻,20/30天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的.具体可以点击“左边进入其诊室”详细查看我的医生诊室“诊室简介”。国家药典及临床医生就没有听说几天可以愈合骨痂的,一个外伤都需要7/15天才可以愈合的,更别说骨折了.外用药只可以解决表皮问题,跟本解决不了骨质问题.因为骨头是由骨质,骨膜,骨髓三部分组成.“伤筋动骨一百天”不是某地方某些人的看法，而是全国人民的看法。 "
多趾手术还可以做吗？在哪个医院好做？,可以的。但具体的价格不是很清楚的。 
右足第五跖骨基底部骨折，求助,
胫骨平台骨折,
"２００２年股骨头碎了，股骨骨折了,钉子在腿里不拿出","你好，你还年轻钉子是必须的拿出来,不然会发生电解腐蚀反应的。骨折能愈合是不会有后遗症的，不必担心。现在还是患肢不要负重活动的好.平时休息的时候抬高患肢用热毛巾热敷。建议你服用专业的接骨续筋,消肿止痛，活血化瘀药物八仙接骨宝治疗,10天症状明显减轻,30天拍片可以看到明显骨痂形成，40/50天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的.国家药典及临床医生就没有听说几天可以愈合骨痂的,一个外伤都需要7/15天才可以愈合的,更别说骨折了.外用药只可以解决表皮问题,跟本解决不了骨质问题.因为骨头是由骨质,骨膜,骨髓三部分组成 "
因为伤病活动受限所以有４年多时间没有活动身体不是太,你好，是的确实是这样的。长时间没有活动突然加大运动会引起骨膜损伤的。平时活动的时候慢慢增加活动的时间和次数.谢谢你对问必答网的信任，有问必答网为全民公益网站，医师团全体成员竭诚为您服务，我们将尽快回复您的提问，欢迎您经常光顾有问必答。 
"我有个50多岁的朋友他的脚只要触到地上就会疼,最近越来越来厉害",你好，建议你的朋友去医院拍跟骨片看看，有可能是跟骨增生。谢谢你对问必答网的信任，有问必答网为全民公益网站，医师团全体成员竭诚为您服务，我们将尽快回复您的提问，欢迎您经常光顾有问必答。 
小孩的病如何治疗？？？,这现象有两种情况，一是小孩长胖了形成了踝沟，当然不需要治疗了；二是踝关节纤维环曾受伤形成挛缩，这需要做手术松解。请你找骨科医生亲自检查一下。 
我应注意什么,"你好,脚踝骨折,韧带多少有损伤,因为踝关节的韧带比较多,所以在骨折的同时,韧带也被拉伤,由于没有得到及时的治疗,所以这么久的时间了,关节仍感到僵硬,韧带有损伤,就需要用药治疗,建议中医治疗,选用野生中草药外敷修复韧带,一般10到15天就可修复,再用药保养30到40天左右就可痊愈,关节弯曲自然恢复正常.现在脚趾有麻木,那要考虑是神经可能有问题,最好去医院检查看看.在没有用药修复韧带前,多休息,最好不要刻意锻炼,以免加重韧带的拉伤,忌吃牛肉,鸡肉,姜. "
"我老公膝盖酸痛多年,特别是冬天或潮湿天气更为严重,他是做业务的",你好，检验结果是正常的。建议你去医院检查肌力或缺钙引起的。 
"我10岁就长大脚骨现在脚已经成三脚形,一直不知道有什么好的治疗办法",手术意义不大．地方病．只是外观难看． 
"本人常年髋关节处疼痛,特别是受凉",
半月板损伤手术后会不会留下后遗症,"你好,半月板损伤用药外敷治疗是可以治愈的,不用手术.不会留下后遗症,建议中医治疗,中国中医博大精深,可因地,因医师的不同,所用的药也就不同,在这里建议你选用对身体没有副作用的野生中草药外敷修复半月板,早期损伤一般用药10天左右就可见效,症状明显减轻,再用药保养30天左右就可痊愈,肿,痛,积液自然消除.如果损伤时间过长,那治疗的时间就相对要延长.在没有治疗前,多休息,少活动,更不能刻意锻炼受伤的关节,以免加重半月板的损伤,忌吃牛肉,鸡肉,姜和燥热食物,药物忌服激素药.在这里要提醒患者的就是,中国的野生草药有很多,会用草药治疗的医生也有很多,只要患者能找到良医,不管是内服还是外用,对症治疗就可以快速治愈,能用草药来快速治疗骨伤问题的大有人在,就看你找的医师是良医还是庸医. "
半月板损伤手术后会不会留下后遗症？如果，不动手术，,"你好,你这是软组织(半月板,韧带)有损伤所引起,软组织长时间得不到修复,就会出现肿,痛,积水,严重的积水会转变为脓,只要用药修复半月板和韧带,这些症状就会消除,不需用手术.建议中医治疗,中国中医博大精深,可因地因医师的不同,所以用的药和药方也就不同,有内服的,也有外敷的,在这里建议你选用对身体滑副作用的野生山林草药外敷修复半月板和韧带,一般用药15天左右就可见效,疼痛明显减轻80%左右,半月板治疗需要40天左右,韧带治疗需要30天左右就可痊愈.在没有治疗前,多休息,少活动,更不能锻炼弯曲受损的关节,以免加重半月板和韧带的损伤.忌吃牛肉,鸡肉,姜和燥热食物.宜吃新鲜蔬菜水果在这里要提醒患者的就是,中国的野生草药有很多,会用草药的医生也有很多,包括中医用的药也有很多是草药转化而来,比喻中药的威灵仙,在草药方面就叫双飞蝴蝶或老虎须,中药的地榆,草药就叫马连安.所以现在的中医他们所用的中药有很多都是草药,只要患者能找到良医,不管是内服还是外用,对症治疗就可以快速治愈,如果你能找到良医把病治好,也不必找我来酬谢,但要是找到庸医把病情搞坏了,你也不要找我来埋怨,在中国能用草药来快速治疗骨伤问题的大有人在,就看你找的医师是良医还是庸医. "
骨骼错位怎么办啊？谢谢各位医生了，急,"你好，以你说的情况是软组织损伤和韧带拉伤，应该不是骨折，不过可以拍片检查看看。平时注意休息，休息的时候抬高患肢,患肢尽量不要负重活动。建议你服用专业的活血化瘀,消肿止痛，接骨续筋药物八仙接骨宝治疗,5天症状明显减轻,20天就可以治愈。有问必答网为全民公益网站，医师团全体成员竭诚为您服务，我们将尽快回复您的提问，欢迎您经常光顾有问必答。 "
脚踝撕脱性骨折一年了还没好,
自己感觉膝盖关节受伤后稳定性差，请问专家可以通过什,问题已经给予回复。 
自己感觉膝盖关节受伤后稳定性差，请问专家可以通过什,那你有麦芽糖做局部X光复查呢？ 
"左拳头食指伸肌腱断裂,现缝合,需几周开始功能锻炼?",你好，３周后主动锻炼，现在可以被动锻炼． 
右脚内侧踝骨处红肿疼痛，已做化验排除痛风，该用什么,"应考虑损伤所至,口服止痛药的同时,外用活血化淤中药,局部热敷. "
"打篮球导致左脚后跟肌腱断裂,已做修复手术出院,但出","你好,其它韧带肌腱断裂,不需要手术,用野生山林草药外敷就可以修复,修复后,就可以恢复正常的弯曲,负重.你现在出院后出现伤口肿,建议打针消炎,或者用中医外洗外敷清热消毒.如果长时间不消炎,皮肤会导致坏死的,肌腱液化.忌吃燥热、辛辣食物、黄豆制品和温性食物（如茄子，苦瓜，酸笋等等），以免炎症加重。 "
一个多月前我洗澡的时候摔了左膝向内侧扭伤当时没有感,你好．最好医生检查．我考虑创伤性滑膜炎．关节有积液．可以穿刺抽液，加压包扎．休息１周后自愈． 
新生儿左侧小腿轻微弯曲是否异常？,从照片上看来，孩子的腿是正常的。需知道，孩子在宫内就是手足踡在一起的，有可能是左腿在外面，所以就会出现轻微弯曲的现象，这是不要紧的。随着年龄的增长，腿的发育，这种轻微弯曲的现象会慢慢消失。另外，当孩子会走路时，骨头的破骨细胞与成骨细胞会沿着重力的作用线，把骨头“修直”的。倒是有点要提醒的：勿过早让孩子坐学行车。孩子在十一个月左右才会自己扶着站起来，并慢慢学行，原因是孩子在这个时候腿骨的强度才足够以支撑体重----人的基因控制着人的生长发育，只有在十一个月左右才开始学行是有其道理的。如果在孩子还未有足够的承重能力时，勉强孩子去学行，那就是拔苗助长了。过早坐学行车容易让孩子的腿变成“O”型，也就是俗话说的“罗圈腿”。因为在孩子的腿骨强度还不足以支撑体重时，让孩子过早坐学行车，第一是会令腿骨在体重的作用下出现变形，而第二是学行车的“座”又会让孩子的两腿叉开，这两种情形合起来就会令孩子真的容易出现“罗圈腿”了，我在临床中已经见了几例这样的“罗圈腿”。也勿过早让孩子学行。道理同上面所述的第一种情况。只有当孩子的腿力量足够时，孩子才会自己站起来。因此，请勿“拔苗助长”。但愿我的回答能帮得上您的忙。 
粉碎性骨折后能完全康复吗???,"你好,现在你就可以拆下石膏,因为石膏只是在原有的基础上固定,在上石膏时是软体的,并不能固定正骨,再说上石膏久了,还会使关节僵硬,现在最好采用体外夹板固定,然后用药外敷快速接骨,只要你能对症用药,是可以痊愈的,不会留下后遗症.建议中医治疗,中国中医博大精深,可因地,因医师的不同,所用的药和药方也就不同,在这里建议体外夹板固定,然后选用野生中草药外敷快速接骨,一般3到5天就可接上,骨头接上时,疼痛明显减轻80%左右(骨头接不上,疼痛是很难减轻的),第7到8天就可拆去夹板,第15到20天左右就可痊愈.在骨头没有愈合前,少活动受伤的手指,以免骨折处再次折裂,错位,早期骨折(两断骨间距超过三毫米以上的以及粉碎性骨折的)不建议吃高钙高蛋白食物,以免造成骨不连,忌服含激素的药物,饮食忌吃公鸡肉,鲤鱼,酸笋和燥热食物.但在这里要提醒患者的就是,中国的野生草药有很多,会用草药的高手也有很多,包括中医用的药也有很多是草药转化而来,比喻中药的威灵仙,在草药方面就叫双飞蝴蝶或老虎须,中药的地榆,草药就叫马连安.所以只要患者能找到良医,对症治疗就可以快速治愈,如果你能找到良医也不必找我来酬谢,但要是找到庸医把病情搞坏了,你也不要找我来埋怨,在中国能用草药来快速治疗骨伤问题的大有人在,就看你找的医师是良医还是庸医. "
"白天脚的外侧有股热气冒上来,有时半夜两个大脚指抽筋",缺钙形起的、补钙、口服钙而奇D每天一粒 
"请问,我的左手指肌腱断裂,已经缝针,需要多久伤愈",你好．需要３周．可以口服愈伤灵胶囊． 
左胫骨上端内侧骨软骨瘤需要动手术的吗?,"你好!关于你目前的情况我建议你尽快要去医院做手术,并做病理分析.谢谢!! "
"我妈妈的膝盖长有骨刺,应该怎么治疗了?",1少活动2外敷膏药3吃止痛片 
热敷按摩理疗,最好在医院去做理疗和按摩。 
骨折后一直痛是怎么回事？,可能有畸形愈合，应该尽量减少活动，进行局部的热敷按摩理疗。 
左膝关节不适,你好，这不是病，自己注意调整就可以了。 
"我的脚跖骨骨折已经一个多月了,石膏拆了五天了",你好，这种情况一般需要2到3个月，甚至更长时间都可以引起疼痛。一般应该少活动。可以吃点活血止痛胶囊。应该注意保暖，避免受凉。
双膝患滑囊炎,你好，如果囊肿不是太大你可以将囊肿推挤到一边，最好是在骨壁上，再用手指将其挤破使粘液流出，再加压力包扎。外敷下药：生川乌30生草乌30艾叶30生半夏30红花30黄柏20花椒15大戟15甘遂15甘草15伸筋草30透骨草30煎水外用，先薰后洗。 
脚扭伤怀孕5个月,你好，注意休息．３天后自我按摩，热水泡脚．一般需要２－３周时间恢复． 
"第五跖骨骨折100多天了,拍片显示有生长,能否大胆","适当的活动是可以的，但患肢还是不要负重活动的好。平时多休息，少活动。100多天了还没有长好，可能和你平时的活动有关。建议你服用专业的接骨续筋,消肿止痛，活血化瘀药物八仙接骨宝治疗,可以帮助骨折恢复的快些，5天酸痛症状明显减轻,20天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的.患者骨折期间拍几张片子对身体没有多大影响的，X光线只是对长期工作在放射科医生身体影响大。平时加强营养多吃些排骨,鸡肉,牛肉,鸡蛋,牛奶. "
各位医师您好,"你好，谢谢你对有问必答网的信任。你母亲的情况我详细看了，建议你还是先拍片看看骨头愈合的如何及骨折的位置。一个月脚趾骨折应该是还没有完全愈合的。还是不要负重活动的好，平时抬高患肢。还是建议你服用专业的接骨续筋,消肿止痛，活血化瘀药物八仙接骨宝治疗,可以帮助骨折提前愈合，7天症状明显减轻,20天就可以治愈,以X光片为依据.骨折的愈合需要以X光片依据，X光片就是医生和患者的眼睛，都可以看到愈合的情况，所以说没有依据的说法是不科学的.平时加强营养多吃排骨,鸡肉,牛肉,鸡蛋,牛奶. "
,
踝骨部位肿起有一个多月了。怎么办？,"你好，踝关节损伤是需要休息的，已经一个多月了还没有愈合，这可能和你平时的活动有关或去医院拍片看看骨头有没有损伤。平时需要抬高患肢,患肢不要负重活动.建议你服用专业的活血化瘀药物八仙愈合散治疗,3天肿痛症状明显减轻,15天就可以治愈. "
"我这几天有时会感觉大腿骨头痛,偶尔小腿跟手也会痛","这种情况我在临床上见过几例,如果没有其他不适,补点钙效果不错． "
跟骨胫骨骨髓炎的治疗,"此病的发生和神经系统损伤有关，治疗应调节神经才能可治愈。此病情如要治愈必需以兴奋神经为根本,骨髓炎才能治愈. "
急，老伤能好吧？,你好！你的踝部的老伤没有得到彻底的治愈，因此不过度劳累，它不明显，一旦劳累了那无菌性炎症就又复发。你可以试一下扶顺科疑难病研究所的骨康贴，治疗你的病挺有效的。你上网可以查到的。祝你早日康复！ 
骨折手术后康复问题,踝关节和膝关节僵硬是外伤性肌化炎导致的关节粘连，腿部肌肉萎缩和外伤导致的周围神经缺养以及锻炼过迟有关。治疗：加强功能锻炼，改善局部循环，兴奋神经，恢复肌力。 
我的膝关节拉伤，以2月，问/为什么还不好,尽量减少活动，局部按摩热敷，理疗。 
还是那个脚内翻的遗传问题,"首先回答你,我不是骨科的医生.你的这个问题,是每一个医生在上学的时候都学过的.再回答你的问题,脚内翻,医学上叫内翻足,一般认为形成原因是在胚胎早期受内外因素影响引起的发育问题,也有可能与胎儿的足在子宫内的位置不当有关,至于遗传不遗传,尚未被现有的科学研究证实.希望你不要有太多的思想顾虑. "
先天性脚内翻遗传的可能性有多大,"遗传的可能性不大,基本是没有的.可放心要孩子的. "
骨者手术后喝豆浆朴丐吗,
本以为是扭伤到医院拍片子说是骨膜损伤这种伤一般情况,"你好,骨膜损伤只要能对症用药是可以很快治愈的,建议中医治疗,中国医学博大精深,有可因地不同,因医者不同,所以用的药也就各有不同,有内服的,有外敷的,在这里建议你选用纯野生,对身体没副作用的野生山林草药外敷修复骨膜,早期损伤,一般7到10天左右就可修复,症状明显减轻,再用药保养20到30天左右就可痊愈.如果损伤时间过长,那治疗的时间就相对长一些.在没有治疗前,多休息,少活动,以免加重骨膜的损伤.忌吃牛肉,鸡肉,姜和燥热食物,这是经验得出,这只是我个人的建议,患者可享用,也可不用. "
前几天参加了48小时暴走活动，现在稍一走动，左腿靠,"这是活动过重造成软组织损伤和韧带拉伤，需要抬高患肢,尽量不要负重活动休息一段时间就没有问题了。平时可以热敷。 "
脚踝关节突然红肿痛怎么办,你好：先做血液检查检查看一下血尿酸的情况。 
脚板底疼痛,那应该是属于阴虚/ 
扭了脚怎么办？,"24小时内冷敷，以后热敷。平时抬高患肢,不要下床负重活动. "
请问扭脚5个月，现在走路不痛，还需要看医生吗？,"你好,X光片只能拍到骨头有没有断裂,对于韧带是拍不到的,因为韧带太小了,如果韧带有损伤,它特有的症状就是弯曲受限,不能达到正常幅度,有僵硬拉紧感,早期活动局部有肿,现在你最好检查清楚,有没有骨裂,所谓先治骨后治筋,如果排除骨头没有问题,那就要考虑是软骨有损伤,关节面的软骨有磨损,它在活动的时候疼痛就会明显.而韧带有损伤,疼痛是很少的.治疗软骨建议选用中医治疗,中医疗法有很多,可因地,因医师的不同,所用的药方也就不同,在这里建议你选用纯野生,对身体没有副作用的野生山林草药外敷治疗,一般7到10天就可见效,疼痛明显减轻80%左右,再用药保养20到30天就可痊愈.在没有治疗前,多休息,少活动,以免加重软骨的损伤,忌吃姜,牛肉,鸡肉.药物忌服含激素的西药. "
尊敬的各位医生:！我的脚踝在上周打球时不小心崴伤了（第一次崴,你好.注意休息.把患脚抬高点.你这现象是正常的.15天才会痊愈. 
血尿酸的值高吗？,
我的右腿在一次踢球时，造成胫骨两根骨头骨折,
轻度大脚趾（拇囊炎）腿痛是为何？如何自我康复？,还是应该去做个检查明确诊断后在做治疗。 
踝关节肿痛！,
我感觉我有长短腿已经一年了走路只用做腿使劲我说我,那你有没有做腰椎检查看一下？ 
"左大腿外侧偏上部有点痛,是怎么回事?",你好！你可能是由于晚上睡觉压着左腿了，没事情的 
"腰腿痛,照片为骨性关节炎,退行性改变","还是腰椎退行性病变引起的风湿病.医院检查风湿,可以说是丈二和尚摸头脑,永远摸不着的.治疗须疏通神经.游泳要避免. "
足踝骨断了须多长时间才能完全好?,"还不到50天呢，不要着急踝骨骨折愈合时间是6/8周。你现在的脚肿说明你的骨折愈合不是很好。平时需要注意抬高患肢,不要下床负重活动.建议你服用专业的活血化瘀,接骨续筋药物八仙接骨宝治疗,7天症状明显减轻,20天就可以治愈,以X光片为依据.骨折的愈合是需要以X光片依据，X光片就是医生和患者的眼睛，谁都可以看到愈合的情况.所以说没有依据的说法是不可靠的.平时多吃含高蛋白食物如排骨,鸡肉,牛肉,鸡蛋,牛奶.必须加强营养骨折才可以快速愈合。 "
"一不小心摔跤都会骨折,现手和脚四个关节位已有骨折",你好．脆骨病．没有特效办法，只有预防．２１金维他试试． 
双脚踝骨水肿（腿不肿，验尿没有问题）,先做局部X光检查， 
